Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-11-11,15304.29,15654.89,15288.19,15635.47,101.96016134,1575715.157855648,15454.223857112313
2020-11-10,15287.51,15436.7,15112.5,15294.93,214.44816519,3272610.558376228,15260.613470284114
2020-11-09,15489.29,15798.75,14846.0,15300.4,248.08589485,3816160.446899923,15382.416034604803
2020-11-08,14788.8,15645.59,14767.34,15488.4,15.63486685,239390.912045686,15311.349584386515
2020-11-07,15612.1,15753.8,14341.72,14898.5,87.10114697,1313047.3050962887,15074.971464480688
2020-11-06,15623.02,15985.52,15205.8,15574.8,336.44520191,5228579.782786576,15540.657893481384
2020-11-05,14160.71,15755.1,14129.31,15612.4,334.38470598,5019789.150567558,15012.017777116267
2020-11-04,14001.69,14495.0,13550.0,14163.7,22.84660621,320571.3293013735,14031.463857466013
2020-11-03,13525.01,14090.0,13326.56,13984.55,14.74901241,201238.9760859854,13644.23396576323
2020-11-02,13836.76,13857.48,13337.67,13568.12,5.05136668,69032.5163243399,13666.106758327807
2020-11-01,13796.74,13865.55,13631.04,13729.1,20.37414379,280952.055599215,13789.637419615707
2020-10-31,13574.64,14041.64,13463.83,13825.25,20.19297829,279533.3838624035,13843.098321005697
2020-10-30,13457.78,13652.93,13178.51,13600.0,11.1719144,150412.5019486336,13463.449196194484
2020-10-29,13298.2,13579.67,13000.0,13475.0,13.99305576,185869.5535272476,13282.985268919392
2020-10-28,13550.11,13903.83,12502.59,13292.56,18.40126876,243799.4563674579,13249.056874677042
2020-10-27,13091.16,13839.63,13075.0,13654.51,60.97625389,818315.2653863213,13420.22858377863
2020-10-26,13030.18,13231.3,12807.8,13093.29,58.95163056,771059.2587439892,13079.523864216404
2020-10-25,13117.79,13358.96,12910.35,13041.0,91.66403115,1196750.1278372467,13055.83130943556
2020-10-24,12932.1,13162.39,12894.0,13117.8,35.68516616,466944.2681155946,13085.108417934138
2020-10-23,12981.0,13015.94,12738.7,12960.09,84.68788593,1094721.377392794,12926.540382619203
2020-10-22,12850.0,13183.3,12716.7,12994.0,48.39559654,628141.2003161766,12979.304838137585
2020-10-21,11966.12,13250.84,11966.12,12855.1,154.33146597,1930462.6683222447,12508.54876670128
2020-10-20,11749.76,12041.08,11695.8,11917.17,51.55979351,609638.3923282297,11823.91066422697
2020-10-19,11524.94,11820.0,11433.42,11749.05,69.37454186,803080.699760081,11576.014460473454
2020-10-18,11362.69,11514.59,11362.69,11514.59,7.05766987,80909.3280937353,11464.028437722221
2020-10-17,11333.1,11402.5,11281.12,11370.34,7.3770073,83527.6992788696,11322.707960295713
2020-10-16,11503.91,11537.89,11225.1,11327.5,47.30489336,539025.653070077,11394.712360262194
2020-10-15,11433.63,11603.7,11274.3,11487.39,113.88249748,1301632.169626707,11429.606817810607
2020-10-14,11418.92,11532.4,11309.29,11427.94,49.94154361,570942.1866815354,11432.209447511215
2020-10-13,11549.2,11560.12,11335.0,11452.13,107.16208619,1230709.2773033276,11484.55877502479
2020-10-12,11363.1,11726.6,11216.3,11546.95,46.86719353,537735.1762485602,11473.594549764375
2020-10-11,11296.89,11417.1,11280.9,11383.9,81.48402957,925229.4484716844,11354.733600611304
2020-10-10,11068.41,11469.9,11068.41,11297.29,163.48125185,1854867.094375942,11346.05389539009
2020-10-09,10938.33,11091.7,10842.5,11068.17,52.89289394,579592.0539204684,10957.843497425933
2020-10-08,10659.0,10952.4,10551.11,10926.1,51.6830017,551208.5554107082,10665.180761176807
2020-10-07,10597.43,10669.22,10569.02,10663.99,55.35109356,587799.516873142,10619.474324133696
2020-10-06,10786.18,10786.18,10535.74,10569.16,78.30242106,839716.6831821247,10724.019408527398
2020-10-05,10683.51,10785.6,10642.76,10785.5,36.15803937,387726.3218812554,10723.101380406935
2020-10-04,10550.9,10693.26,10540.3,10680.99,60.05569296,636504.7533864717,10598.574789744158
2020-10-03,10564.55,10598.53,10508.8,10558.3,36.85778271,388995.516980921,10553.958713186004
2020-10-02,10644.15,10658.5,10389.7,10571.62,84.06662585,882604.3532585074,10498.86734877807
2020-10-01,10818.08,10916.3,10465.2,10631.46,78.49020429,833226.9895641924,10615.681244574733
2020-09-30,10827.92,10827.92,10673.84,10782.6,49.04074949,526939.6651525524,10744.934990440996
2020-09-29,10692.4,10848.19,10652.81,10848.19,24.90121224,266795.4920278836,10714.15678307088
2020-09-28,10821.04,10955.04,10653.29,10698.71,41.72266693,452139.3616023411,10836.779977677737
2020-09-27,10738.8,10807.18,10609.96,10780.36,33.41077784,357697.6278812529,10706.055081812872
2020-09-26,10710.7,10815.18,10663.24,10747.59,25.07744079,268981.7957037259,10726.046487605954
2020-09-25,10741.63,10742.38,10564.88,10687.99,23.31080696,247920.3869808878,10635.427053482314
2020-09-24,10247.67,10782.4,10203.7,10742.13,26.05176805,272475.8912454511,10459.017242994802
2020-09-23,10530.35,10530.35,10152.45,10245.86,35.55325295,367718.1643497247,10342.743176464382
2020-09-22,10440.15,10563.37,10371.77,10513.23,23.02941828,241081.3458466994,10468.407969126496
2020-09-21,10914.2,10979.44,10325.35,10439.69,117.38608796,1241258.712529387,10574.15520101797
2020-09-20,11068.17,11068.17,10765.6,10940.79,39.8095817,433299.6160878314,10884.304672003907
2020-09-19,10944.36,11162.1,10904.67,11068.3,11.4658207,126431.5233692714,11026.818461348466
2020-09-18,10956.5,11024.9,10831.8,10906.32,18.00156707,196365.5487663668,10908.247487720897
2020-09-17,10956.4,11042.2,10757.67,10947.82,155.21136507,1686559.0001183937,10866.208150142607
2020-09-16,10793.11,11094.69,10678.41,10965.4,42.28970752,460153.2455110353,10880.974887173574
2020-09-15,10703.18,10940.07,10643.6,10781.5,40.13366386,432558.663859698,10777.951033043262
2020-09-14,10338.1,10740.97,10278.1,10670.49,32.07245278,335290.6418143498,10454.16277059524
2020-09-13,10443.53,10571.8,10234.3,10340.8,68.80682251,713766.6616333599,10373.486750236501
2020-09-12,10361.6,10477.88,10289.9,10446.2,33.01578031,341716.4283457174,10350.093959227626
2020-09-11,10371.24,10409.32,10232.72,10408.32,19.36222681,199590.5681979892,10308.244509092663
2020-09-10,10286.77,10484.32,10263.5,10358.71,14.13402134,146230.9276978409,10346.024261616187
